Username,rawTweet,hashtags,mentions,fromUser,clean_tweet,emojis_str,emoji_count
La_ReVoluZzion,"_
Confirmado Compañeres,

El impuesto por la @usembassyguate,
—Solo cuenta con el pagado apoyo de los @48CantonesToto a través de la @USAIDGuate y @UEGuatemala

@BArevalodeLeon huye y se esconde del Verdadero Pueblo Guatemalteco.",,"usembassyguate, 48CantonesToto, USAIDGuate, UEGuatemala, BArevalodeLeon",XelaNewsGt,confirmado compañeres impuesto usembassyguate solo cuenta pagado apoyo través usaidguate ueguatemala barevalodeleon huye esconde verdadero pueblo guatemalteco,,0
XelaNewsGt,"#URGENTE Lo que los medios #faferos no informaron ayer, acerca de la visita del presidente #BernardoArévalo a #NebajQuiché, donde fue sacado a toda prisa por #SAAS ya que  manifestantes pedían ser escuchados por el mandatario, quien decidió huir de esta manera.
#XelaNews 🇫🇷 https://t.co/UQQbnvlfTa","URGENTE, faferos, BernardoArévalo, NebajQuiché, SAAS, XelaNews",,,urgente medios faferos informaron ayer acerca visita presidente bernardoarévalo nebajquiché sacado toda prisa saas manifestantes pedían ser escuchados mandatario decidió huir manera xelanews,🇫🇷,1
M24095273,"@IvanDuque @BArevalodeLeon Con que usaste PEGASUS para espiar a tus detractores! obra de un narcisista sin conciencia, buena pinta por fuera corazon negro y podrido por dentro sin alma",,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon usaste pegasus espiar detractores obra narcisista conciencia buena pinta corazon negro podrido dentro alma,,0
carlosalbesc,"@IvanDuque @BArevalodeLeon Entre Ellos se entienden bien, y sÍ están  cuadrando una ""PRODUCTIVA""reunión.",,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon entienden bien cuadrando productiva reunión,,0
Brenda_AGN,"El presidente @BArevalodeLeon y la vicepresidenta @KarinHerreraVP  participan en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala.

@AGN_noticias
@CongresoGuate https://t.co/zw3c2EqgK7",,"BArevalodeLeon, KarinHerreraVP, AGN_noticias, CongresoGuate",,presidente barevalodeleon vicepresidenta karinherreravp participan sesión solemne conmemoración aniversario independencia república guatemala agn noticias congresoguate,,0
Roberto28338166,@BArevalodeLeon El muy hijo de puta inyectó con enfermedades venereas a Guatemaltecos.,,BArevalodeLeon,,barevalodeleon hijo puta inyectó enfermedades venereas guatemaltecos,,0
LuisEnr36669555,@EmisorasUnidas @BArevalodeLeon Y que de bueno le trae a Guatemala eso??,,"EmisorasUnidas, BArevalodeLeon",,emisorasunidas barevalodeleon bueno trae guatemala,,0
keratox1,"@IvanDuque @BArevalodeLeon Productiva es que genere algo productivo y una charla sin nada que construya algo real no es para nada productivo, más bien es algo similar a unas viejas chismosas hablando de temas random",,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon productiva genere productivo charla construya real productivo bien similar unas viejas chismosas hablando temas random,,0
Radio_TGW,"@KarinHerreraVP El presidente de la República, @BArevalodeLeon, hace su ingreso al hemiciclo del Legislativo para participar en la sesión solemne en conmemoración de un aniversario más de la independencia del país. https://t.co/8x3ByTeAMN",,"KarinHerreraVP, BArevalodeLeon",,karinherreravp presidente república barevalodeleon hace ingreso hemiciclo legislativo participar sesión solemne conmemoración aniversario independencia país,,0
Corleone_62,"@mys_servicios @BArevalodeLeon No tampoco, ese izmierda también se cago en Guatemala o no se recuerdan de los experimentos en Guatemaltecos",,"mys_servicios, BArevalodeLeon",,mys servicios barevalodeleon tampoco izmierda cago guatemala recuerdan experimentos guatemaltecos,,0
GTNewsAgency,Happening Now: President @BArevalodeLeon  participates in the Commemoration of the 203rd Anniversary of the Independence of the Republic of Guatemala.,,BArevalodeLeon,GuatemalaGob,happening now president barevalodeleon participates in the commemoration of the anniversary of the independence of the republic of guatemala,,0
GuatemalaGob,🔴 |  El presidente @BArevalodeLeon participa en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala. https://t.co/kNfJVSiW8c,,BArevalodeLeon,,presidente barevalodeleon participa sesión solemne conmemoración aniversario independencia república guatemala,🔴,1
Brenda_AGN,"Ingreso del presidente @BArevalodeLeon al hemiciclo parlamentario para participar en la sesión solemne en conmemoración del 203 años de independencia patria 

@AGN_noticias https://t.co/XWC5BWlvla",,"BArevalodeLeon, AGN_noticias",,ingreso presidente barevalodeleon hemiciclo parlamentario participar sesión solemne conmemoración años independencia patria agn noticias,,0
othmancgrstones,"@PEdgar05 @BArevalodeLeon También soy de los que quisiera ver que el presidente sacara a NarConsuelo y a sus esbirros del MP, a los de la CC y CSJ. Pero eso sería algo cómo el serranazo, y todos sabemos cómo terminó.  El ""glorioso"", caCACIF y demás corruptos desean que lo haga, para sacarlo del gobierno",,"PEdgar05, BArevalodeLeon",,barevalodeleon quisiera ver presidente sacara narconsuelo esbirros mp cc csj cómo serranazo sabemos cómo terminó glorioso cacacif demás corruptos desean haga sacarlo gobierno,,0
BrenttGranth,@MendiaMariela @BArevalodeLeon No hagan reir el presidente ilegitimo es un funcionario publico ilegitimo impuesto por la embajada de USA luchando por cooptar las cortes y instituciones que imparten justicia para no ser jusgado por su fraude y sus crimenes de corrupcion esa es la verdadera descripcion,,"MendiaMariela, BArevalodeLeon",,mendiamariela barevalodeleon hagan reir presidente ilegitimo funcionario publico ilegitimo impuesto embajada usa luchando cooptar cortes instituciones imparten justicia ser jusgado fraude crimenes corrupcion verdadera descripcion,,0
reybet0,@IvanDuque @BArevalodeLeon Cobarde rata cuando regresa a Colombia a devolver todo lo que su familia se robó???!!,,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon cobarde rata regresa colombia devolver familia robó,,0
DiariodeCA,"#EnVivoDCA | El presidente @BArevalodeLeon
participa en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala.",EnVivoDCA,BArevalodeLeon,GuatemalaGob,envivodca presidente barevalodeleon participa sesión solemne conmemoración aniversario independencia república guatemala,,0
rafaeortega2,@IvanDuque @BArevalodeLeon aproveche y pida asilo que Pegasus no va a quedar impune,,"IvanDuque, BArevalodeLeon",,ivanduque barevalodeleon aproveche pida asilo pegasus va quedar impune,,0
BenitoC67601310,@arronchopa Deberías de salir de la cama... Huevón pisado y ver que el precio de las  verduras está más bararo... Gracias a nuestro presidente @BArevalodeLeon,,"arronchopa, BArevalodeLeon",,arronchopa deberías salir cama huevón pisado ver precio verduras bararo gracias presidente barevalodeleon,,0
licigir21,"@GuatemalaGob @BArevalodeLeon ESTE AÑO PARA MI, NO CELEBRO INDEPENDENCIA, CUAL?",,"GuatemalaGob, BArevalodeLeon",,guatemalagob barevalodeleon año celebro independencia,,0
othmancgrstones,"@PEdgar05 @BArevalodeLeon Y según usted, padre, cómo debería proceder el presidente?",,"PEdgar05, BArevalodeLeon",,barevalodeleon según usted padre cómo debería proceder presidente,,0
fernandochang95,"Algo que deberia de hacer el @GuatemalaGob es crear una empresa publica de estaciones de cargas electricas. Esto atraeria mucha IED.

Hay que empezar a pensar en el largo plazo.

@BArevalodeLeon
@rocasgt",,"GuatemalaGob, BArevalodeLeon, rocasgt",,deberia hacer guatemalagob crear empresa publica estaciones cargas electricas atraeria mucha ied empezar pensar largo plazo barevalodeleon rocasgt,,0
