Username,rawTweet,hashtags,mentions,fromUser
La_ReVoluZzion,"_
Confirmado Compañeres,

El impuesto por la @usembassyguate,
—Solo cuenta con el pagado apoyo de los @48CantonesToto a través de la @USAIDGuate y @UEGuatemala

@BArevalodeLeon huye y se esconde del Verdadero Pueblo Guatemalteco.",,"usembassyguate, 48CantonesToto, USAIDGuate, UEGuatemala, BArevalodeLeon",XelaNewsGt
XelaNewsGt,"#URGENTE Lo que los medios #faferos no informaron ayer, acerca de la visita del presidente #BernardoArévalo a #NebajQuiché, donde fue sacado a toda prisa por #SAAS ya que  manifestantes pedían ser escuchados por el mandatario, quien decidió huir de esta manera.
#XelaNews 🇫🇷 https://t.co/UQQbnvlfTa","URGENTE, faferos, BernardoArévalo, NebajQuiché, SAAS, XelaNews",,
M24095273,"@IvanDuque @BArevalodeLeon Con que usaste PEGASUS para espiar a tus detractores! obra de un narcisista sin conciencia, buena pinta por fuera corazon negro y podrido por dentro sin alma",,"IvanDuque, BArevalodeLeon",
carlosalbesc,"@IvanDuque @BArevalodeLeon Entre Ellos se entienden bien, y sÍ están  cuadrando una ""PRODUCTIVA""reunión.",,"IvanDuque, BArevalodeLeon",
Brenda_AGN,"El presidente @BArevalodeLeon y la vicepresidenta @KarinHerreraVP  participan en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala.

@AGN_noticias
@CongresoGuate https://t.co/zw3c2EqgK7",,"BArevalodeLeon, KarinHerreraVP, AGN_noticias, CongresoGuate",
Roberto28338166,@BArevalodeLeon El muy hijo de puta inyectó con enfermedades venereas a Guatemaltecos.,,BArevalodeLeon,
LuisEnr36669555,@EmisorasUnidas @BArevalodeLeon Y que de bueno le trae a Guatemala eso??,,"EmisorasUnidas, BArevalodeLeon",
keratox1,"@IvanDuque @BArevalodeLeon Productiva es que genere algo productivo y una charla sin nada que construya algo real no es para nada productivo, más bien es algo similar a unas viejas chismosas hablando de temas random",,"IvanDuque, BArevalodeLeon",
Radio_TGW,"@KarinHerreraVP El presidente de la República, @BArevalodeLeon, hace su ingreso al hemiciclo del Legislativo para participar en la sesión solemne en conmemoración de un aniversario más de la independencia del país. https://t.co/8x3ByTeAMN",,"KarinHerreraVP, BArevalodeLeon",
Corleone_62,"@mys_servicios @BArevalodeLeon No tampoco, ese izmierda también se cago en Guatemala o no se recuerdan de los experimentos en Guatemaltecos",,"mys_servicios, BArevalodeLeon",
GTNewsAgency,Happening Now: President @BArevalodeLeon  participates in the Commemoration of the 203rd Anniversary of the Independence of the Republic of Guatemala.,,BArevalodeLeon,GuatemalaGob
GuatemalaGob,🔴 |  El presidente @BArevalodeLeon participa en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala. https://t.co/kNfJVSiW8c,,BArevalodeLeon,
Brenda_AGN,"Ingreso del presidente @BArevalodeLeon al hemiciclo parlamentario para participar en la sesión solemne en conmemoración del 203 años de independencia patria 

@AGN_noticias https://t.co/XWC5BWlvla",,"BArevalodeLeon, AGN_noticias",
othmancgrstones,"@PEdgar05 @BArevalodeLeon También soy de los que quisiera ver que el presidente sacara a NarConsuelo y a sus esbirros del MP, a los de la CC y CSJ. Pero eso sería algo cómo el serranazo, y todos sabemos cómo terminó.  El ""glorioso"", caCACIF y demás corruptos desean que lo haga, para sacarlo del gobierno",,"PEdgar05, BArevalodeLeon",
BrenttGranth,@MendiaMariela @BArevalodeLeon No hagan reir el presidente ilegitimo es un funcionario publico ilegitimo impuesto por la embajada de USA luchando por cooptar las cortes y instituciones que imparten justicia para no ser jusgado por su fraude y sus crimenes de corrupcion esa es la verdadera descripcion,,"MendiaMariela, BArevalodeLeon",
reybet0,@IvanDuque @BArevalodeLeon Cobarde rata cuando regresa a Colombia a devolver todo lo que su familia se robó???!!,,"IvanDuque, BArevalodeLeon",
DiariodeCA,"#EnVivoDCA | El presidente @BArevalodeLeon
participa en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala.",EnVivoDCA,BArevalodeLeon,GuatemalaGob
rafaeortega2,@IvanDuque @BArevalodeLeon aproveche y pida asilo que Pegasus no va a quedar impune,,"IvanDuque, BArevalodeLeon",
BenitoC67601310,@arronchopa Deberías de salir de la cama... Huevón pisado y ver que el precio de las  verduras está más bararo... Gracias a nuestro presidente @BArevalodeLeon,,"arronchopa, BArevalodeLeon",
licigir21,"@GuatemalaGob @BArevalodeLeon ESTE AÑO PARA MI, NO CELEBRO INDEPENDENCIA, CUAL?",,"GuatemalaGob, BArevalodeLeon",
othmancgrstones,"@PEdgar05 @BArevalodeLeon Y según usted, padre, cómo debería proceder el presidente?",,"PEdgar05, BArevalodeLeon",
CopresamOficial,El presidente @BArevalodeLeon participa en la Sesión Solemne en Conmemoración del 203 Aniversario de la Independencia de la República de Guatemala.,,BArevalodeLeon,GuatemalaGob
fernandochang95,"Algo que deberia de hacer el @GuatemalaGob es crear una empresa publica de estaciones de cargas electricas. Esto atraeria mucha IED.

Hay que empezar a pensar en el largo plazo.

@BArevalodeLeon
@rocasgt",,"GuatemalaGob, BArevalodeLeon, rocasgt",
AuraRod18533431,@ElQueNews @BancadaSemilla @BArevalodeLeon @AVillagran502 Yo netcentero el quetzal digo mentiras  por eso  me esta creciendo la naris 🤣🤣🤣 https://t.co/yOUNfXtYj2,,"ElQueNews, BancadaSemilla, BArevalodeLeon, AVillagran502",
