source,target,interaction,weight
elrevoltijogt,barevalodeleon,mention,42
benitoc67601310,barevalodeleon,mention,30
elrevoltijogt,bancadasemilla,mention,30
ialmgg,barevalodeleon,mention,21
diariodeca,wendiv_dca,mention,18
dupin07,barevalodeleon,mention,18
vvj_gt,barevalodeleon,mention,18
diariodeca,barevalodeleon,mention,16
diariodeca,mmaczdca,mention,16
anti_chairosgt,barevalodeleon,mention,15
minfingt,barevalodeleon,mention,15
minfingt,jmenkos,mention,15
salquevedo,barevalodeleon,mention,15
spaceboy88fly,barevalodeleon,mention,15
billyc2023,barevalodeleon,mention,14
mendiamariela,barevalodeleon,mention,14
agn_noticias,barevalodeleon,mention,13
alejand09098718,_spguatemala,mention,13
alejand09098718,barevalodeleon,mention,13
alejand09098718,diariodeca,mention,13
alejand09098718,dtransitopnc,mention,13
alejand09098718,fjimenezmingob,mention,13
alejand09098718,fjimenezmingob,reply,13
alejand09098718,guatemalagob,mention,13
alejand09098718,mingobguate,mention,13
alejand09098718,pncdeguatemala,mention,13
elojodelcerro,barevalodeleon,mention,13
elrevoltijogt,mpguatemala,mention,13
alejand09098718,agn_noticias,mention,12
alejand09098718,radio_tgw,mention,12
diariodeca,magaguatemala,mention,12
dimb502,barevalodeleon,mention,12
donaldoalvr,barevalodeleon,mention,12
josejorgemonroy,barevalodeleon,mention,12
pollosdb,barevalodeleon,mention,12
wichomarg,barevalodeleon,mention,12
aldanav52139161,barevalodeleon,mention,11
cesa71183,barevalodeleon,mention,11
eedlb,barevalodeleon,mention,11
ialmgg,bancadasemilla,mention,11
ialmgg,mpguatemala,mention,11
ialmgg,ubaldomacu,mention,11
kroldegarcia,barevalodeleon,mention,11
leraovalle,barevalodeleon,mention,11
javierr07772901,barevalodeleon,mention,10
leraovalle,bancadasemilla,mention,10
leraovalle,concriteriogt,mention,10
leraovalle,jlfont001,mention,10
leraovalle,karinapazgt,mention,10
leraovalle,karinherreravp,mention,10
leraovalle,perico8461,mention,10
leraovalle,samuel_pz,mention,10
marcoan14818708,barevalodeleon,mention,10
mendiamariela,jotapepequ,mention,10
minfingt,guatemalagob,mention,10
mirnadesoto1,barevalodeleon,mention,10
rafaelae1967,barevalodeleon,mention,10
ubaldomacu,barevalodeleon,mention,10
vvj_gt,fjimenezmingob,mention,10
alvarado66gt,barevalodeleon,mention,9
axelgar56163124,barevalodeleon,mention,9
corleone_62,barevalodeleon,mention,9
elimarios_,barevalodeleon,mention,9
elojodelcerro,guatemalagob,mention,9
elrevoltijogt,karinherreravp,mention,9
erickdelcid77,barevalodeleon,mention,9
gilrey422483,barevalodeleon,mention,9
guate_opina,barevalodeleon,mention,9
magaguatemala,barevalodeleon,mention,9
magaguatemala,maynorestradagt,mention,9
pepecuevas73,barevalodeleon,mention,9
pfacticos,barevalodeleon,mention,9
rafaeldelaguil8,barevalodeleon,mention,9
sw_jrh96,barevalodeleon,mention,9
vanessaherrer02,barevalodeleon,mention,9
vicentecarrera_,barevalodeleon,mention,9
alvaradoanaite,barevalodeleon,mention,8
claudiayan8074,barevalodeleon,mention,8
claudiayan8074,uclcgt,mention,8
claudiayan8074,vicentecarrera_,mention,8
dupin07,quiquegodoy,mention,8
dvidx84,barevalodeleon,mention,8
dying_4me,barevalodeleon,mention,8
dying_4me,jv19887788,mention,8
dying_4me,jv19887788,reply,8
dying_4me,wjmartinv,mention,8
elanalistagt2,barevalodeleon,mention,8
elojodelcerro,karinherreravp,mention,8
elojodelcerro,viceguatemala,mention,8
erroresgt,barevalodeleon,mention,8
jcarlos223020,barevalodeleon,mention,8
jer21668,barevalodeleon,mention,8
jv19887788,barevalodeleon,mention,8
jv19887788,dying_4me,mention,8
jv19887788,dying_4me,reply,8
jv19887788,tato100360,mention,8
jv19887788,wjmartinv,mention,8
kikegt2023,barevalodeleon,mention,8
manuelcevans,barevalodeleon,mention,8
mariamartaumaa1,barevalodeleon,mention,8
mendiamariela,alvarocolomc,mention,8
mendiamariela,arceydooley,mention,8
mendiamariela,drgiammattei,mention,8
mendiamariela,jimmymoralesgt,mention,8
mendiamariela,ottoperezmolina,mention,8
mrdogo35,barevalodeleon,mention,8
mundo9999,barevalodeleon,mention,8
patrici07680625,barevalodeleon,mention,8
rafaelae1967,felixsinexcusas,mention,8
rafaelae1967,guatemalagob,mention,8
rcocinera,barevalodeleon,mention,8
robertr02304443,barevalodeleon,mention,8
samemerz68789,barevalodeleon,mention,8
samemerz68789,guatemalagob,mention,8
ubaldomacu,mpguatemala,mention,8
unchapincomun,barevalodeleon,mention,8
yoda_baganas,barevalodeleon,mention,8
arceydooley,barevalodeleon,mention,7
benitoc67601310,arronchopa,mention,7
billyc2023,drgiammattei,mention,7
claudiayan8074,fjimenezmingob,mention,7
claudiayan8074,guatemalagob,mention,7
claudiayan8074,mingobguate,mention,7
claudiayan8074,sandra_jovelp,mention,7
dan_vikingo,barevalodeleon,mention,7
de_don61347,barevalodeleon,mention,7
dupin07,quiquegodoy,reply,7
dying_4me,tato100360,mention,7
edwadriperez,alex_balsells,mention,7
edwadriperez,barevalodeleon,mention,7
eg_gd26,barevalodeleon,mention,7
elmerlandazuri7,barevalodeleon,mention,7
elrevoltijogt,congresoguate,mention,7
gtkaliman,barevalodeleon,mention,7
jer21668,mpguatemala,mention,7
jer21668,santipalomov,mention,7
jer21668,ubaldomacu,mention,7
johanmauricio34,barevalodeleon,mention,7
josecif33982901,barevalodeleon,mention,7
karen_sant35047,_spguatemala,mention,7
karen_sant35047,barevalodeleon,mention,7
karen_sant35047,diariodeca,mention,7
karen_sant35047,dtransitopnc,mention,7
karen_sant35047,fjimenezmingob,mention,7
karen_sant35047,guatemalagob,mention,7
karen_sant35047,mingobguate,mention,7
karen_sant35047,pncdeguatemala,mention,7
krupp31416,barevalodeleon,mention,7
luisalbert98610,barevalodeleon,mention,7
luisfergo04,barevalodeleon,mention,7
magaguatemala,guatemalagob,mention,7
marco310367,barevalodeleon,mention,7
maribelmar51429,barevalodeleon,mention,7
maza110vac,barevalodeleon,mention,7
meme_punisher,barevalodeleon,mention,7
mendiamariela,arceydooley,reply,7
papaabumario,barevalodeleon,mention,7
tcorzo36309,barevalodeleon,mention,7
_newsgt,barevalodeleon,mention,6
aleph_____,barevalodeleon,mention,6
alexander8928,barevalodeleon,mention,6
aliasjj48266282,barevalodeleon,mention,6
arceydooley,alvarocolomc,mention,6
arceydooley,drgiammattei,mention,6
arceydooley,jimmymoralesgt,mention,6
arceydooley,jotapepequ,mention,6
arceydooley,mendiamariela,mention,6
arceydooley,mendiamariela,reply,6
arceydooley,ottoperezmolina,mention,6
arthurshp_wf,barevalodeleon,mention,6
benitoc67601310,guate_opina,mention,6
diariodeca,barevalodeleon,reply,6
diariodeca,minsaludguate,mention,6
diariodeca,secretariasesan,mention,6
domingo2325943,barevalodeleon,mention,6
eedlb,fjimenezmingob,mention,6
elrevoltijogt,arronchopa,quote,6
elrevoltijogt,samuel_pz,mention,6
erickdelcid77,drgiammattei,mention,6
estaciondoblea,barevalodeleon,mention,6
fpgabriel1,barevalodeleon,mention,6
gdialectico,barevalodeleon,mention,6
germanzzo,barevalodeleon,mention,6
glowgt502,barevalodeleon,mention,6
gt_theos,barevalodeleon,mention,6
guatemalagob,barevalodeleon,mention,6
isabellapa92060,barevalodeleon,mention,6
jaehsaurio,barevalodeleon,mention,6
johanmauricio34,cmendeza,mention,6
johanmauricio34,jczamora,mention,6
johanmauricio34,jlfont001,mention,6
johanmauricio34,lahoragt,mention,6
johanmauricio34,marielosmonzon,mention,6
johanmauricio34,mmendoza_gt,mention,6
johanmauricio34,ojguatemala,mention,6
johanmauricio34,orellanafredy1,mention,6
johanmauricio34,pacogoldman,mention,6
johanmauricio34,plazapublicagt,mention,6
johanmauricio34,prensacomunitar,mention,6
josejorgemonroy,__vadertg,mention,6
juanchapilandia,barevalodeleon,mention,6
juliantono400,barevalodeleon,mention,6
licigir21,barevalodeleon,mention,6
lordmarduk2,barevalodeleon,mention,6
lourdesdecasti2,barevalodeleon,mention,6
luisroberto110,barevalodeleon,mention,6
machl1804,barevalodeleon,mention,6
magaguatemala,scspgt,mention,6
marielp82893334,barevalodeleon,mention,6
marodros,barevalodeleon,mention,6
mendozarendy,barevalodeleon,mention,6
miguel479279560,barevalodeleon,mention,6
momaantonio,barevalodeleon,mention,6
oco_motora,__vadertg,mention,6
oco_motora,barevalodeleon,mention,6
oco_motora,congresoguate,mention,6
oco_motora,usaidguate,mention,6
pachanga0gt,barevalodeleon,mention,6
snakecancelable,barevalodeleon,mention,6
titto_maradvic,barevalodeleon,mention,6
velvetfabiola,barevalodeleon,mention,6
vequedeahuevo,barevalodeleon,mention,6
_newsgt,drgiammattei,mention,5
_newsgt,guatemalagob,mention,5
agn_noticias,brenda_agn,mention,5
ajutzuy,barevalodeleon,mention,5
aldanav52139161,guatemalagob,mention,5
aleexxcarrera,barevalodeleon,mention,5
arodas45,barevalodeleon,mention,5
arronchopa,barevalodeleon,mention,5
arthurshp_wf,ubaldomacu,mention,5
arthurshp_wf,ubaldomacu,reply,5
axelgar56163124,guatemalagob,mention,5
ba7decffbc6249e,barevalodeleon,mention,5
benitoc67601310,elquenews,mention,5
billyc2023,erickdelcid77,mention,5
billyc2023,erickdelcid77,reply,5
billyc2023,mendiamariela,mention,5
car_pin_,barevalodeleon,mention,5
chocolateecurls,barevalodeleon,mention,5
chrizzao,barevalodeleon,mention,5
colochitaaaaaa,barevalodeleon,mention,5
daviidvx,barevalodeleon,mention,5
derech0so,barevalodeleon,mention,5
dimb502,ubaldomacu,mention,5
eddie99243836,barevalodeleon,mention,5
edwadriperez,fiscalnvicto,mention,5
eg_gd26,santipalomov,mention,5
erickdelcid77,mendiamariela,mention,5
ertadivarius,barevalodeleon,mention,5
erwin_fern84019,barevalodeleon,mention,5
ferbc86,barevalodeleon,mention,5
garciadanilo63,barevalodeleon,mention,5
guatemejor1,barevalodeleon,mention,5
guiselabarrios,barevalodeleon,mention,5
gxldedibu,barevalodeleon,mention,5
hami417,barevalodeleon,mention,5
jaehsaurio,mingobguate,mention,5
jaehsaurio,nenucosm81863,mention,5
josejorgemonroy,mpguatemala,mention,5
jrafaelrev,barevalodeleon,mention,5
jzamorano1965,barevalodeleon,mention,5
karen_sant35047,fjimenezmingob,reply,5
kroldegarcia,guatemalagob,mention,5
lamportnanogt,barevalodeleon,mention,5
leomarksal,barevalodeleon,mention,5
luchopo81993102,barevalodeleon,mention,5
luis_sutte31199,barevalodeleon,mention,5
luisalbert98610,olsenpsico,mention,5
machl1804,guatemalagob,mention,5
manuelcevans,guatemalagob,mention,5
marcoanmo72,barevalodeleon,mention,5
marcoanmo72,mpguatemala,mention,5
marcoanmo72,santipalomov,mention,5
marcoanmo72,ubaldomacu,mention,5
mariochiu2,barevalodeleon,mention,5
michideflores,barevalodeleon,mention,5
negrismr19,barevalodeleon,mention,5
ositapanda9,barevalodeleon,mention,5
radio_tgw,barevalodeleon,mention,5
robertr02304443,factor4_gt,mention,5
